"","id","sex","edad","origen","timerun","categoria","nacionalidad"
"578",578,"Hombre",38,"POPAYAN",3477,"2. Abierta","COL"
"579",579,"Hombre",38,"CALI",3477,"2. Abierta","COL"
"580",580,"Hombre",34,"CALI",3479,"2. Abierta","COL"
"581",581,"Hombre",32,"CALI",3479,"2. Abierta","COL"
"582",582,"Mujer",18,"CALI",3479,"2. Abierta","COL"
"583",583,"Mujer",34,"CALI",3480,"2. Abierta","COL"
"584",584,"Hombre",30,"CALI",3481,"2. Abierta","COL"
"585",585,"Hombre",39,"CERRITO",3482,"2. Abierta","COL"
"586",586,"Hombre",28,"CALI",3482,"2. Abierta","COL"
"587",587,"Mujer",28,"JAMUNDI",3482,"2. Abierta","COL"
"588",588,"Hombre",31,"CALI",3482,"2. Abierta","COL"
"589",589,"Hombre",55,"CALI",3484,"4. Veteranos B","COL"
"590",590,"Hombre",38,"CALI",3486,"2. Abierta","COL"
"591",591,"Hombre",26,"CALI",3487,"2. Abierta","COL"
"592",592,"Hombre",33,"CALI",3487,"2. Abierta","COL"
"593",593,"Mujer",50,"CALI",3489,"4. Veteranos B","COL"
"594",594,"Mujer",42,"CALI",3489,"3. Veteranos A","COL"
"595",595,"Hombre",42,"JAMUNDI",3490,"3. Veteranos A","COL"
"596",596,"Hombre",26,"CALI",3490,"2. Abierta","COL"
"597",597,"Hombre",62,"CALI",3490,"5. Veteranos C","COL"
"598",598,"Hombre",27,"CALI",3491,"2. Abierta","COL"
"599",599,"Mujer",50,"CALI",3493,"4. Veteranos B","COL"
"600",600,"Hombre",46,"CALI",3495,"3. Veteranos A","COL"
"601",601,"Mujer",25,"CALI",3495,"2. Abierta","COL"
"602",602,"Hombre",32,"CALI",3495,"2. Abierta","PAN"
"603",603,"Hombre",27,"CALI",3495,"2. Abierta","COL"
"604",604,"Hombre",33,"CALI",3496,"2. Abierta","COL"
"605",605,"Hombre",26,"CALI",3496,"2. Abierta","COL"
"606",606,"Mujer",25,"CALI",3497,"2. Abierta","COL"
"607",607,"Mujer",33,"CALI",3498,"2. Abierta","COL"
"608",608,"Hombre",49,"CALI",3499,"3. Veteranos A","COL"
"609",609,"Hombre",28,"POPAYAN",3499,"2. Abierta","COL"
"610",610,"Hombre",57,"PEREIRA",3500,"4. Veteranos B","COL"
"611",611,"Hombre",36,"CALI",3502,"2. Abierta","PAN"
"612",612,"Mujer",42,"CALI",3502,"3. Veteranos A","COL"
"613",613,"Hombre",32,"CALI",3502,"2. Abierta","COL"
"614",614,"Hombre",56,"PALMIRA",3502,"4. Veteranos B","COL"
"615",615,"Hombre",36,"CALI",3502,"2. Abierta","COL"
"616",616,"Mujer",34,"CALI",3502,"2. Abierta","COL"
"617",617,"Hombre",23,"CALI",3503,"2. Abierta","COL"
"618",618,"Mujer",32,"CALI",3503,"2. Abierta","COL"
"619",619,"Mujer",23,"PALMIRA",3503,"2. Abierta","COL"
"620",620,"Mujer",58,"CALI",3507,"4. Veteranos B","COL"
"621",621,"Hombre",37,"CALI",3507,"2. Abierta","COL"
"622",622,"Mujer",64,"CALI",3508,"5. Veteranos C","COL"
"623",623,"Mujer",56,"CALI",3508,"4. Veteranos B","COL"
"624",624,"Hombre",39,"PALMIRA",3509,"2. Abierta","COL"
"625",625,"Hombre",43,"CALI",3509,"3. Veteranos A","COL"
"626",626,"Hombre",39,"CALI",3510,"2. Abierta","COL"
"627",627,"Hombre",26,"CALI",3512,"2. Abierta","COL"
"628",628,"Hombre",41,"CALI",3513,"3. Veteranos A","COL"
"629",629,"Hombre",40,"CALI",3514,"3. Veteranos A","COL"
"630",630,"Mujer",33,"CALI",3514,"2. Abierta","COL"
"631",631,"Mujer",35,"CALI",3515,"2. Abierta","COL"
"632",632,"Hombre",57,"CALI",3515,"4. Veteranos B","COL"
